x,y
16035.8,29502.6
-23017.7,33668.3
-47043.8,-49098
-29316.7,-8907.52
-39822.6,3170.72
49597.3,22558.9
-2594.91,-48066.9
12442.3,46908.2
39589.4,9346.78
-40537.8,38836.7
7064.1,7317.93
6096.03,-27789.2
-42828.9,40847.8
-14773.5,-9038.27
-41157.6,-29269.7
26356.1,-27662.4
26442.2,-33393.5
-11184.6,-23841.4
30274.5,37868
-41108.3,-24397.8
-47660.5,21365.5
37806.8,-34451.3
36806.8,-28161.6
-27914.2,43259.4
-41462,8276.74
41443.2,-34924.5
-35304.3,34464.4
47485.3,22154.6
16023,-31290.6
30787.3,763.358
39299.1,48754.2
-38155.2,-5235.16
-12103.9,34448.8
49968.4,-12993.2
12054,-23455.5
-43490.2,-40860.9
47365,-33963.8
21455.2,14296.4
1551.58,-34108.2
19504.2,-47480
-16155.1,9161.58
6720.29,-49726.4
20867.5,-8481.95
9848.99,18984.3
-44488.1,-2425.22
6064.81,-31900.2
-30834.5,12970
-46438.4,43217.2
-31605.9,34339.6
-33125.9,-47898.4
8423.11,-24140.8
16950.6,3736.06
45061.1,-33249.4
13933.4,-32197.1
43883.9,-31834.2
-15954.7,44242
-35567.8,-22077.2
32329.2,-45829.9
13018,4309.45
-10871.5,-17.9435
-34720.8,-6900.2
-35492.2,28521
-4014.03,47595.6
37587.1,33042
-35813.3,-23233
46549.5,-33252.4
-43549.8,-31342.7
-48878,-37627
31082.9,-18842.6
11785.6,-36057.4
5013.05,7529.69
-45742.1,46165.8
-10116.1,36269.2
-41355.3,-48392.3
11396.9,49793.8
7568.45,28524.3
-27877.6,39241
-20125.7,-5499.14
26852.9,3347.86
49353,35737.4
871.83,-26158.9
2403.51,-22379.7
29784.6,-38923.1
31321,-32059.9
32473.7,3401.38
21403.8,-33072.7
-15117.4,7586.16
11005,-30534.4
-27757.8,-6387.04
-12763.9,-28320
-8603.4,8471.52
21581.5,43418.9
-48974,9937.48
-3394.97,-25523
-46543.6,-16447.6
12348.6,-9494.29
-6154.79,-35301.9
39156.8,-28878.5
3633.63,-8033.26
-48382.5,-37387.7
-10327.5,-32293.9
16466.1,-35808.5
-33200.8,2631.75
-9514.22,-10364.2
32107.3,-2134.47
-21469.1,-38659
14201.5,44929.6
1407.25,-34346
-11695.7,-28902.3
22620.8,9218.24
-270.16,21438.2
25169.4,24371.7
30476.9,28727.4
25961.7,18146.1
-6556.3,15265.5
22081.8,-17189.2
31516.2,44801.8
-42287.1,-18135.3
32872.9,-247.943
37911.5,-2103.37
6084.23,11539.4
-29608.1,-3061.64
34360.9,-28587.4
-30004.1,-26002.1
-36046.8,42284.4
12900.8,28735.7
47175.6,-30447.5
1825.03,-11815
2365.61,-14480.3
26492.5,-45339.2
18890.7,43594.6
-36304.3,29796.5
-19534.2,-48276.2
40783.3,-16599.6
-1349.94,41437.8
25778.2,47734.5
19634.9,36372.9
-11230.3,-4513.48
-40309.1,-26334.4
23119.6,-1264.49
-33517.2,13123.4
13017.9,-37895.4
-8624.27,36684.7
-45033.4,41277.7
-9307.17,28655.9
-47324.4,-67.803
-35608.4,-20299.4
-47426,-25010.3
21704.7,-31435.3
-9682.53,40813.7
-4085.12,-35398.4
-7760.13,2474.16
22917.3,10352.6
-19852.7,-4660.28
19486,-42118.3
12383.6,35005.4
9184.06,-39192.9
-8892.35,45800.8
-25366.4,15376.3
13383.5,15136.7
-49583.6,-44719.5
-34883.4,-46396
-11456.4,-1859.52
11205.2,31156.5
-34622.7,-38409.9
45716.8,6379.31
-25155.5,-25213.5
32759.6,32841.3
1129.32,12807.9
3416.28,34594.2
9085.03,-19365.5
-22381.7,-14484.8
-45886.4,-24008.4
-26262.6,-25072.6
-23539.7,-12801.5
34358.3,29279.6
4369.52,33539.6
-37997.7,37948.9
-5561.88,-40239
35794.3,-37897.4
-3175.91,524.782
44030.3,27474.4
-1444.88,5985.68
34474.3,8.11801
39276.7,1157.66
28453.4,12324.4
-14139.6,46838.9
-14415.3,-13673.2
10900.1,-21358.6
-402.837,-26049.4
-27346.3,34747.6
46400.1,-19328.7
-7201.3,-37825.2
39077.4,-63.4978
-33539.8,-41809.7
-49198.9,-19662.9
-37836,24891.6
-4329.87,-17985.6
33188.1,44606.8
12920.9,43.6496
30301.7,-43765.7
39548,48790.7
28496.9,-14566.2
45488.8,8770.21
25872.5,48817.6
-45141.3,-18239.8
25020.7,-37440.8
-36284.4,-8899.95
8627.83,18564.3
18633.5,-31963
40412.2,11406
27534.6,46331.1
-39509.6,34885.4
46679.2,25312.7
29445.9,27014.6
28683.9,45575.1
-32348.8,-14507.2
40844,43509.5
9107.18,-15767.7
19477.6,3179.32
-12752.4,-10308.4
-30863.2,-33592.1
-47976.3,9450.87
32000.1,49310.9
-19086.1,-12251.4
-42873.1,-47275.5
3436.25,-27305.3
-24072.8,34152.8
38202.3,-4338.51
-17254.3,-40308.3
24749.7,29076.3
7388.41,10816.2
7047.23,32462.8
33150.2,12115.5
47205,-34048.6
-11074.6,-21833.6
18037.4,-16141.3
-49239.2,38396.5
-36387.6,-15746.9
46706.9,27215.2
-35408.6,-19165.2
21092.3,-17552.8
3145.59,-36993.6
41504.4,-49757.5
-46107.5,1738.92
12786.7,45034.3
-41032.3,4587.67
-21457.9,-17658.7
30271.7,-5761.17
-27224.1,22332.9
-25185.8,-26957.6
49790.6,40417.6
-32719.2,10682.4
37514,-45154.4
-37339.6,10344.7
-18804,3438.13
-49644.4,17536.2
-15820.5,-27364.4
-576.731,-32114.9
35059.8,-35158.9
-30211.9,48396.4
-5753.75,-26412.7
-13724.5,37498.8
-22400.9,16616.9
46673.9,22603
17908.2,32451.5
37843.7,46020.4
-24735.6,-6189.67
35654.3,-14112.3
-35302,26162.1
39333.4,7637.84
-16291.6,23193.5
-43246,-35766.6
-40095.5,24691.1
-13963.7,-14724.6
-33457,27885.6
-25826.2,-30943.4
35543.2,30284.2
31313.7,-28246.7
-1974.64,-40691.5
10342,-46282.3
20199.1,-28699
-39240.1,-35865.6
44873.2,-9273.86
23980.9,19325.1
-47954.1,20937.3
7258.78,44516.3
11665,-5836.14
44011.8,6670.01
-31223.3,-44266.6
19355.6,-37982.1
36643.9,5442.2
-972.515,-27.5836
-9242.65,-19244.6
46265.4,-27205.3
31796.1,-18579.1
38126.2,-34022
7429.88,7137.2
23290.5,27112.6
-14758.3,-33196.1
13143.1,21149.2
14199.2,18685.4
37519.5,49333.2
46748.2,44612.8
16862.9,2660.66
25667.1,8277.09
-40813.4,-20615.2
-14596.2,35417.8
4072.93,-12302.3
-5333.28,-47346.2
-10669.6,16932
17986.9,25619.1
-23203.6,14736.4
8129.37,-1618.24
21392.3,40711.2
-18894,-14396.5
19983.1,-41096.2
-47910,-5947.92
23384.9,-43705.7
-8898.1,19064.5
42402.5,42215.8
5167.07,-21734
-32974.3,24226
-29344.8,37707.1
33928.5,-36421.2
38276.9,26268.4
30692,-44448.6
-44386.3,34598.3
18404.1,-18578.2
-36035.5,14072.5
24207,39316.1
-11169.7,-17143
-13349,-17865.3
35215.1,-14082.8
-3539.99,-48943.7
-8465.54,-17608.4
-30859.3,-19128
-34937.4,38079.5
29712.3,-9858.27
4863.75,-5927.58
5649.87,2516.32
-6861.85,35836.6
246.028,-47410
-24033.4,-27524.8
32140.3,-30512.9
42351.2,30320.7
21440.5,-11591.1
-32205.1,34651
19484.3,-499.957
-94.8559,49589.9
-16755.7,16104.2
-41821.6,13568
27237.7,-10328.3
-24920.7,-38036.9
45012.3,-48942.3
-4506.32,47882.9
-13494.3,34064.7
-16238.2,-41584.1
37534.4,17599.1
-34834,651.575
-26639.7,8721.21
-23936.2,-2605.17
5888.43,-24430.8
31040.9,25779.2
-31172.1,24084.9
37820,-12591.6
-48842.5,46025.1
36059.6,-31378
34540.6,-4396.04
-2449.28,-44494
49362.7,-10161.5
4343.91,-36458.1
7027.39,-7221.03
20765.3,-19535
-25569.7,16194.7
16078.1,-41429.9
703.454,169.63
11517.9,-1419.99
-28918.6,-13423.5
-18701,-46404.1
42347.6,34795.1
16915.8,-42177.8
48670.4,38868.9
40695.6,8914.32
-46639.7,3901.32
-29011.6,-147.213
-586.465,-42580
16015.5,-45467.8
-39814.6,49841.9
-738.654,4511.23
11557.4,38963.4
9329.2,2447.08
7351.44,28880.9
31209.5,5037.53
-27370.8,30990.2
35496.1,30383.4
-30486.3,-47343.2
-20873.4,-38881.6
27416.5,-32431.8
25205.4,24124
-15611.1,-48330.3
10799.2,42190.9
-10713,-36996.1
33313.3,-6299.9
17951.1,-39671.8
23579.8,411.356
-34450.4,-13999
42203.7,47147.3
45203.8,-30928.9
7613.58,-18470.8
32787.2,-17645.8
9392.34,-37748.1
29814.4,3075.88
7126.81,16867.5
3892.1,-6972.31
-9437.4,44791.5
35756.2,-12012.6
10460.7,8005.74
19068.7,-37160
38278.9,-46728.9
37107.1,-17927.2
48943.2,40962.6
36062.4,46246.7
33797.3,2453.78
14079.6,-20808.1
-41655.7,24232.9
18855.3,27852.7
-14268.1,13055.4
-42500.8,3779.67
26335.6,2958.22
-25248.4,10095.5
-15744.1,-8382.57
35037.7,-1564.19
-30307,-46713.5
6906.58,47453.5
28188.6,-47178.5
-48807.6,22063.9
6023.32,10612.4
28238.6,42922
5456.82,-17010.7
-29607.2,-49500.4
-45507.4,22824.3
-24697.5,3045.44
36661.3,-23501.6
-12590,-32767.2
-31324.5,24867.7
17656.7,-159.516
30899.8,40878.3
-5011.36,-49033.2
-14951.2,9540
49349.4,-46364.5
14195.2,-33440.4
42961.7,-13006
-33329.7,-36833.5
19605.9,1914.22
9127.02,13252.6
28575.4,-8087.44
-25094.9,14950.3
47539,26284.2
-35731.3,12765.1
-35167.9,32333.4
14025.1,-2397.7
-45970.7,-2802
41900.7,-13992.7
44381.2,-48468.3
-38169.7,-21267.7
16939.8,46599.5
38000,26412.2
41242.2,-7896.23
-26415.3,12006.6
-7574.24,-25189.3
31700.2,-33515.4
26018.4,-8182.7
40201.7,-11322.7
17669.5,-45928.3
-5564.84,9458.97
11531.4,18531.3
17338.3,-25643.1
-3812.85,32607.6
-22803.6,-20793.1
26542.7,28063.6
37108.9,-12386
-49960.5,18155.7
-31517.5,-8305.42
-26011.2,1548.93
-8789.41,44540
28575.5,27649
10382.7,5885.95
30702.6,-37860.3
-30836.3,27944.2
22438.2,27726.2
17759.4,-3086.57
27018,-40141.8
-41493.5,22882.3
169.801,6850.6
-48101.1,47470.6
28680.8,26574.8
-8844.14,4238.97
44632.9,-47845.2
28515.7,16546.8
-25848.6,-16067.8
-24203.1,-20760.1
-24020.9,45330.7
-36426.2,19868.6
36085.5,-7998.55
22105.8,-18490.5
46554.4,-31839.3
12382.3,-6473.38
17163.3,-12909.9
-21087,-20743.8
42650.6,3832.22
1225.4,-31605.5
15406.3,-23858.1
49556.4,-39552.3
21898,38820.6
917.853,186.262
6199.29,-839.239
44264.6,-7390.78
2248.07,18022.8
-21487.8,26323
-40235.2,-35140.5
-49832.3,-16542.9
-47242.4,670.226
47507.5,34560.9
11906.8,-17750.5
26515,-45750.9
-21602.6,309.769
54.7655,-3806.73
49866.5,-17754.4
32888.2,-41068.2
-17596.3,1584.45
11562.7,9422.61
24806.2,41965.6
6926.84,-37768
-284.77,47631.4
4911.1,28983.8
-40767.6,-44374.2
-38820.9,14775.6
-44824.7,-3108.14
30115.8,23624
47872.9,-28988
-5811.04,23883.6
-2722.77,27452.4
6385.97,41760
44902.3,47465.9
46660.5,-3618.77
571.482,23401.5
46324.5,27586
-46583.8,-38764.3
-1981.78,-26384.6
29486.4,-48149.6
-13040.1,-8493.2
24774,-17981.1
-12346.9,-41505
16086.8,-42566.6
-25055.8,17873.3
29392.3,9829
12027.6,26539.9
38892.2,28109
13614.6,34162.1
19874.2,-29963.4
-31719.9,8163.53
28469.2,37481.6
-39277.8,33048.2
2063.87,42896.7
-38459.1,-29977
5768.73,-15398.6
-26789.3,-42376.6
-17666.8,43965.3
-45159.9,-48994.9
-38961.7,-36082.9
49680.7,30380.1
33288.8,47289.5
32543.6,-20403.3
11361.6,-3444.38
10169.8,-35215.8
-35327.2,-32858.2
-14234.7,-21620.2
-46251.4,-3153.41
-38403.9,-926.436
-10643.6,-49119.7
25913.2,-12864
32749.3,45569.5
49198.5,34673.1
41875.2,-10015
-1476.67,-3732.85
33893.6,47847.9
46220.7,-45540.3
-39215.3,13081.1
19238.5,-34410.1
42131.1,7298.86
-27246.9,35274.8
-45584.9,-34746.4
3637.43,22116.4
-12259.7,-2847.69
41109,47950.2
43539.6,-24204.2
18193.9,30497.7
2697.56,-46297.8
16145.5,-17512.5
8501.3,-49431.4
30290.3,-20889.8
-31544.3,28994.2
366.339,17193
-36423.3,-49949.5
-11620,29768.7
-6716.6,12196.5
-20519,21231.1
21264.7,-21574.4
33090.8,-32607.3
-37220.8,-37803.7
49891.1,2677.28
44180.9,-96.5138
41914.1,-33465.5
28464.8,4828.02
27655.2,-45713
-33078,15700.5
-41073.6,29374.6
34145.7,-1391.48
7295.27,-45479.5
44494.9,1714.2
13999.3,-22092.3
-25808.1,-29665.8
10621.6,-26807.9
-22605.9,-16038.6
-5816.42,-1622.3
-17993.6,20607.6
-31471,-7054.63
-4251.83,-46020.7
-41338.2,31257.4
-26120.4,8478.81
-34450,3507.5
46890.7,22033.8
29187.4,22487
23813.5,40947.9
48555.8,39367.9
42188.7,-43078.8
-24620.6,19878.4
-40366.7,48782.1
38754.2,39555.1
-988.27,26769.1
35448.8,-10804
-5273.84,-21723.5
29329.6,-19708
-31130.6,32043.9
-12257.4,22273.4
-18402.7,17275.7
41207.5,15676.5
-10913,47590.9
-44658.9,-36353.7
20694.6,19297.8
-47807.9,-1311.47
28370.6,4115.87
9252.95,28833.5
33862.6,-2891.35
-13559.2,1642.35
15311.9,23605.9
-44402.8,25954.2
-24172.7,-19134.1
26311.1,-12631
15530.3,39841.1
45230.4,-43332.7
14669.1,20599.7
13320.3,4539.49
10534.9,-28030.6
16825.4,-16517.8
-37160.7,14684.5
-46238.9,-35437.2
-24568.7,18639.2
34894.6,39994.3
27432.7,14629.5
-35040.8,32549.3
-30172.2,38555.2
37709.5,-8834.78
12473.1,45350.8
-18160.1,-5130.25
40419.2,-39724.6
34007.4,44612.5
16697.3,-4679.83
-11139.2,2526.49
45638.5,-30516.3
22369.1,-30068.1
15204.8,-5115.04
-34611.7,-42301.2
44480.9,44213.6
27176.8,-22882.3
47665.2,37938.4
20522.1,29865.3
-13986.5,-35654.5
-47870,26024.3
-10908.7,-9982.41
-13109.3,8916.1
47838.7,-41950.3
-27360.6,38063.2
-28741.8,26122.5
-19039.3,-47500.2
49829.7,-36370.1
-29063.2,-1162.48
-44435.2,10503.4
-2827.09,-9010.1
46574.5,-3797.86
-30944.7,-10828.3
31715.3,23310.4
-23107,-34894.9
31014.2,22069.6
-33212.3,44559.3
33354,-40415
-7620.24,-31192.7
-43622,-30758.5
31327.9,10769.9
-9378.31,45826.2
5636.64,-41873.6
-25411.9,8748.96
-24058.2,16911.2
7142.27,39900.3
473.402,19500.4
6777.3,45491.8
43664.2,-2405.74
27885.1,21934.8
-23547.8,-39117.1
9366.73,19424.4
16445.4,-4261.93
-14871.6,18254.4
40285.1,-9962.67
17985.5,24185.8
21991.6,29400.6
-18322.8,-14004.7
19378.2,29620.6
-48288.9,-40889.8
-16963.8,-12950.6
8784.7,39137.4
-5708.55,23563.8
-7286.87,43749.8
787.533,6802.31
25847.2,-41831.8
-31031.8,21509.8
-29772.8,40022.8
-48030.1,-24302.9
-7436.72,35003.2
-14059.3,-31366.1
23109.9,1743.47
-36669.3,-41320.6
32546.5,-14771
-34264.2,39701.4
23574.9,-44008.6
-3128.28,-11760.1
-40392.8,15114.1
5419.97,-26312.7
17547,33273.2
48997.6,-44908.8
6703.54,6338.35
-34545.9,-32556.2
49682.6,-10268.7
-995.215,-43885.8
-12724.1,4699.05
-39187.3,-19100.3
22493.5,-1458.42
-9478.09,23465.6
250.313,9162.98
-43967,26581.9
-21071.7,15728.8
20622.7,-28139.8
-15358.2,35854
-13000,-6299.1
35046.6,-1601.91
-20063.7,-32813.6
-44302.9,-34816.4
38325.7,-1831.69
48186.3,-44641.4
49981.2,13551.4
17877,7297.44
18997.7,10556.9
-4549.08,-6644.11
-15319.8,-15409
-6204.92,-6937.13
-47933.3,42692
29717.3,30243.4
-42314.3,-23415.5
-21436.2,-21905.5
47970.3,-26311.9
14148.4,22655
-30628.7,-23611.2
-10285.4,-3734.8
49353.4,-33338.6
42390.4,47382.3
-42664.4,16632.3
-23601.9,-44453.8
-36511.9,38703.5
-23328.8,-17216
40929.3,28782.2
-27346.6,44326.1
-23648.6,46716.4
46135.9,-22865.4
9090.29,-46153.3
-36760.5,-44470.2
-9196.35,-48199.8
39436.1,40222.8
-6164.97,-40998.2
24770,-38626.7
-36349.1,44742
-38887.2,-3534.21
30401.8,37931.2
42393.8,7123.67
-9456.01,-24551.5
7952.2,-14137.4
5688.9,-2242.64
-37382.9,15281.6
-31941.6,45323
6385.6,42764.5
-21584.5,-9857.58
20319.6,16440.7
-18582.2,-36884.2
-23756.6,42215.8
17488.1,-30071.8
-17958.7,-39440.9
44045,42754.6
14032,35609
-43776.4,-100.998
23842.9,-42.3729
-21097.9,29078.9
-23609.6,34447.2
-18922,-20545
22720.3,-22401.7
-22141.9,-14904.2
-17972.2,-32856.8
-6156.64,48348.9
15328.9,-37184.9
-21776.9,-49840.2
-47226.5,-39651.6
-28214.4,31802.6
31486.2,-48824.8
-17225.1,11994.7
26451.4,48382.6
16890.7,12402.3
-30551.6,18641
-26681.3,-44107.7
-9672.61,29979
40409.7,25188.9
-9974.18,-35636.6
13509.1,23652.6
9769.22,41472.3
2591.54,-3701.29
-46349.3,-31085.7
33828.5,-30490.2
-39954.3,16324.9
-48543.9,-40067
20695.5,14642.9
17971.8,-29432.7
-37369.6,-5868.45
-1264.21,-6321.01
-36979.9,-13334.7
24974.6,48531.8
-33261.7,-13938.5
-2490.54,-2233.6
3664.91,28675.4
8346.66,-47645.9
8050.1,-4193.89
19835.8,-39165.3
29448.1,-44172.7
-33116.9,2525.82
28160.7,24712.5
-37402.3,5576.38
36019.7,-14360.8
-23359.4,-43495.7
44771.8,-31952.9
-45813.9,16752.8
20599,26113.8
-33209.8,-41819.5
20968.3,47184.5
13552.9,49786.5
30739.4,-42254.5
-41524.3,23738.3
34561.8,-32142.7
-29347,26492.7
-17286.7,23361.4
-29150.4,-35940.2
-22349.9,26417
36775.5,-47376.7
-28051.9,-15107.8
12026.4,-46954.5
-576.765,15244.4
33826.8,-28693.3
-17001.7,49952.6
3716.66,-28370.7
6891.81,25345.1
-9980.88,-17038.9
31836.9,20852.7
32251.1,10454.5
14984.1,-35402.7
44022.8,-25091.2
-15976.7,18294.9
22656,-10243.9
37144.7,23400.4
-24839.9,15813.8
-18868,-28743.1
39380.3,40572.9
-21150,-21345.9
-49366.3,-11334.1
6183.64,-43714.9
35329.9,25916.9
-36166.5,34823.7
-14517.5,32264.8
44822.3,-8254.79
-10027.4,-38767
31817.8,-41293.7
-15303.7,-31278.4
-2618.13,37197.9
-25330.5,-18783.3
45688.6,-25716.4
14223.5,-44256.3
-31539.5,-17317.5
12348.3,-48399.7
4770.86,31226.4
45658.9,13225.6
-26683.6,-42162.2
21249.7,-23623.3
12455.5,40371
-8909.04,-28399.5
-37954.9,49294.9
35060,-14722
10225.1,-1841.13
-39949.8,-30035.2
-32127,-40683.2
16049.1,-6961
27085.8,23203.5
-9165.7,-47678.4
8924.74,-24064
-18353.8,33283.7
-5445.24,12153.3
36575.6,27049.9
-23346.7,10702.3
37905.6,-40.7555
-42569.3,-11832.9
2319.56,-49817.6
29305.5,-5179.58
48064.2,17784.8
3914.13,8741.32
44381.4,-21259.5
30732.1,-8214.71
14557.4,-4446.79
-12702.9,-49538.8
-25092.3,-8841.09
27986.2,20201.5
-35538.1,-40452.2
109.018,-35954.8
49548.5,-42619.3
-18271.2,-19648.3
37962.4,-47413.9
-40814.7,-8006.28
30224.6,35719.9
43021.7,-27188.8
16822.5,14121
17418.3,26719.9
23275.8,-40732.1
-23457.6,42181.1
33608.2,-38142.2
34240.2,13341.5
33228.4,-20658.7
27325.1,-4576.33
11125.6,24046.2
16254,8209.75
-17388.4,-37802.3
-7975.66,-25920.1
-45848.6,-43237.7
-11488.2,8191.7
7262.02,27179
22492.6,-22264.7
15475.2,-3973.99
-24932.4,-33064.5
17372.7,12834.2
-6052.2,-11790.1
43860.3,45049.6
42519.7,29207.3
-44582.6,39773.8
-12429.6,11039
18221.7,611.912
19705.9,-46737.8
16688.7,31473.7
12339.5,19890.4
6759.85,-18170.1
-40118.6,-8049.91
39648,13628.1
26357.1,-33176.8
-333.536,-2388.18
-26634.1,8755.79
-17330.2,33279.9
-2368.89,32455
5809.16,18227.3
24214.4,-32149.7
13876.8,-18779.1
45410.1,44061
-32571.5,-33433.2
5378.5,9248.93
5324.66,-41401.4
15920.6,-44269.4
-19932.5,-47158.8
26530.7,47037.4
-7587.63,39628.4
33028.7,19940.4
14113.1,35572
-47996.3,31414.4
-20539.9,39866
-35661.1,22348.7
19736.5,-9771.96
21328.6,46816.4
-15465.2,-10152.9
-21976.9,26310.2
32797.1,-32276.9
-20790.7,-39297.6
16621.5,-32319.3
-1525.44,-975.364
-49177.5,-6714.58
45072.8,-34964.5
40743.7,-43635.5
-29036.7,-7684.52
-20787.2,-35990.5
-11134.8,-36856.1
-3466.78,-32049.3
8697.63,-25982.1
-37129.3,-14919.2
-24968.7,-30920.8
11962.2,10103.3
-10552.3,-12718.4
28737.8,-24208.5
-43626.7,-22905.4
16204.6,28551.6
-6701.21,10940.5
-31958,17635
32128.3,-11802.3
48321.3,3548.19
23407.3,19486.4
-39166.3,-39758
520.05,-20576.3
-30059.4,33462.2
-25791,-31815.2
28614.9,44612.1
-34517.8,20349
-49949.9,-13614.9
-36549.8,-39386.3
9231.72,-36222.5
27850,-41224.4
-47607.9,-32188.7
-39139.4,-48133.4
-3827.89,-36369.7
30217.3,-14304
14043.6,14959.2
22596.9,15817
42751.8,33751.2
30249.9,17836.5
10884.4,-25705.7
24211.5,11703
13516.4,24407.5
49556.5,-33211.7
38700.1,-6079.94
-7856.6,-38619.9
36879.5,873.55
-47137.8,-48817.5
33942.6,40914
7142.77,-8928.98
37567.2,-4630.01
10081.8,395.172
-36945.3,-32576.8
-39020.5,-43277.3
23023.9,-28412.2
30913.4,-22780.8
-21903.7,31446.5
-47555.9,-42046.3
-19662,18179.4
-24312.6,39842.9
-7092.06,10302.5
47011.6,24034.9
-17660.9,-37431.9
-7753.23,19927.1
28647.8,-24662.6
-9360.41,-1091.73
13793.2,-26387.9
7760.31,-44682.5
11207.4,-30401.5
16968.2,30222.2
47212.2,-10403.4
-45552.2,-3672.17
48174.6,-32784.9
19071.7,48899.8
-2963.26,19342.3
-16197.8,-16257
-34046.8,21195.9
3506.96,-44488.2
-21706.3,9112.89
5263.48,-29514.8
-33758,40986.6
-3881.32,21700.2
8606.07,46650.5
-5691.86,-33179.1
6620.4,38479.8
44635.8,-734.246
-34845.7,-15671.6
-32268.3,-5258.77
5804.7,-7450.62
41000.9,7423.55
-38766.8,24499
-45856.8,42413
9143.32,31415.9
-8276.54,23306
-29560.4,-24407.8
-7828.41,-43010.6
-6633.08,-43498.5
-12501.8,9911.46
6179.01,-18112.4
44988.5,150.583
45370.1,-22236.9
19740.1,47472.9
-42059.3,44888.4
21387.1,30191.9
-43907.9,-13821.4
-17718.9,29966
29183.3,38683.7
15861.3,-22951.9
651.981,-46807.3
-13400.5,40569.5
17975,19783.1
46972.9,-33767.3
33331.8,-15013.3
-42347.8,33276
-21442.4,37052.7
-20737.2,9678.57
-49481.9,12432.2
-6888.62,31636.2
-23621.1,-47555.7
-48785.6,8825.83
19760.8,-12599.5
-23339.7,11020.8
4101.67,-42736.2
-11929.3,48155.3
-34179.7,-49306.7
-13588.7,22476.1
20225.2,-26472.6
10212.9,-17874.3
43132.3,20588.5
6289.46,47534.2
5117.56,-25132.3
19469.1,41703.1
-37770.8,-3267.65
42105,47355.3
-36841.6,25810.7
-5565.7,23371.9
20348.4,35669.3
31762.9,-19251.5
-37794,-10920.2
454.059,-46207.8
48707.7,-33742
4415.53,4543.91
-49606,26159.5
-40962.2,9737.35
-26953.5,-49064.4
33834.6,-20076.5
21976.5,-33146.2
-1882.18,38701.8
24322.9,24697.8
-36062.1,6736.47
38500.4,41474.5
-24958.8,41302.8
11210.4,-5618.51
